LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.757038,8.430605,9.487143,7.622766,8.181658,8.278732,8.539085,7.953911,8.352499,,7.891922,8.69195,8.496437,8.737078,8.446226,8.326836,8.159342,8.018255,7.4611,7.815428,7.895517,8.027182,8.544292,8.714514,7.72356,8.119173,8.596487,7.551975,9.213772,7.585821,8.623638,7.96792,9.412756,8.323736,7.794724,8.649426,8.575411,8.640499,8.241663,8.332539,9.233112,7.478828,8.526936,9.701376,8.369732,9.777374,8.033009,7.903204,8.563757
7.814064,7.743645,7.599583,7.918329,8.284063,8.796463,8.104916,8.108387,8.786049,,8.169136,8.480692,8.229637,8.67137,8.975239,8.450565,9.091778,8.794355,8.550987,7.731867,7.72542,8.180666,9.22183,9.322872,8.699265,8.238316,8.01342,8.244267,8.274889,8.036728,9.170876,8.85932,5.876541,8.205709,8.868618,9.027681,8.409405,8.832417,8.160458,8.712902,6.049118,8.154259,9.430609,6.077385,7.899361,9.040203,7.445726,7.450066,7.823486
0.27833,0.849247,-1.249819,1.340075,0.672083,0.799408,0.609722,1.011162,0.934544,,0.982027,0.145674,0.560007,0.197001,1.064596,0.725021,1.340818,1.087036,1.234074,0.42078,0.553436,1.057281,0.783291,0.639229,1.641464,0.811062,0.452271,1.210642,0.426855,1.003723,0.859785,0.916815,-0.678034,1.266804,1.703205,0.739279,0.554428,0.195389,1.04166,1.040173,-1.663036,1.425743,0.89735,-1.214485,0.646296,1.385326,-0.612946,0.480537,-0.490704
-2.757635,-3.00683,-2.162294,-2.511415,-3.008938,-3.479185,-2.814293,-3.021832,-3.499269,,-3.713379,-3.537579,-2.972984,-3.515882,-3.489599,-3.154984,-3.483896,-3.481665,-3.393393,-2.933807,-3.363514,-2.937775,-3.617172,-3.57502,-2.735443,-3.276978,-3.063612,-3.151884,-3.42947,-2.891159,-3.906536,-3.816652,-2.153492,-2.429838,-3.37306,-3.686972,-3.164034,-3.493443,-2.953024,-3.684864,-2.504597,-2.449427,-3.844051,-1.84392,-2.979183,-1.75416,-2.632914,-3.104401,-2.508812
-1.10836,-1.735811,0.317879,-2.059889,-1.364374,-1.893387,-1.023932,-1.761351,-2.151136,,-1.832762,-1.376772,-1.329784,-1.236801,-2.051706,-1.399956,-2.473106,-1.943226,-1.503105,-0.968266,-1.686096,-1.481409,-1.982899,-1.976576,-1.989717,-1.572409,-1.866484,-2.179155,-1.602907,-1.644936,-1.805363,-1.726637,1.14171,-1.645927,-2.142086,-1.758375,-1.599808,-1.817513,-1.954136,-2.029514,0.72217,-1.868467,-1.797304,0.150881,-1.523314,-0.521946,-0.703325,-0.944462,-1.163282
0.918922,1.194773,0.936651,0.757751,1.125717,1.111956,0.680513,0.402803,1.12956,,1.45649,1.21932,0.55356,1.637125,0.56881,1.198988,1.084185,1.431322,1.033602,0.8459,1.087284,0.39896,1.019468,0.491571,0.663404,1.345282,1.1551,0.606995,1.38855,0.860281,1.44558,1.094723,1.295443,0.236053,0.970745,1.246099,1.078358,1.293831,0.660553,1.191301,1.511784,0.093603,0.616789,1.261721,0.972977,1.253414,0.815153,1.08778,1.157207
1.184855,1.754904,0.263329,1.913967,1.243372,1.656961,1.180267,1.197996,2.589025,,1.553936,1.201963,1.000004,1.287632,1.643324,1.193409,2.311811,1.775608,1.406651,0.833626,2.084808,1.216841,1.724281,1.456242,1.268787,1.225519,1.602287,1.796064,2.079725,1.229239,1.948309,2.090015,0.054798,1.009674,2.011786,1.562614,1.849747,1.793833,1.716223,2.246971,0.093355,1.204939,1.410742,0.785646,1.838713,1.990461,1.228619,0.700722,1.727629
0.285273,0.571413,0.292215,0.905161,0.272999,0.387058,0.801268,1.050711,0.495911,,0.427227,0.277214,0.690184,0.253038,1.302633,0.194273,0.798416,0.251055,0.385323,0.386066,0.666132,1.217461,0.417929,1.171341,0.579596,0.495663,0.216837,0.673571,0.487976,0.150137,0.191174,0.91074,-0.515871,0.98525,0.685596,0.32321,0.540543,0.492811,0.773993,0.573025,-0.291224,1.263208,0.852594,-0.000248,0.802383,1.570053,0.5093,0.036077,0.385818
-0.26494,-0.609598,0.67667,-0.432682,-0.229359,-0.791969,0.296431,0.358047,-0.273619,,-0.091496,-0.021944,0.307341,-0.085297,0.202332,-0.113564,-0.404663,-0.406647,-0.187826,0.105505,-0.735683,0.386562,-0.65733,0.09038,0.265064,0.398588,-0.994301,-0.781803,-0.654602,-0.23097,-0.681629,-0.371189,0.081949,0.379744,-0.500002,-0.267668,-0.653238,-0.73122,-0.184975,-0.540791,0.399332,0.594969,0.415573,-0.595217,-0.531244,0.717583,-0.286016,-0.006571,-0.603151
0.37962,-0.23345,0.089884,-0.454998,0.080338,-0.173941,-0.245848,-0.410242,-0.493307,,0.177288,0.020208,-0.106497,0.28924,-0.583315,0.25713,-0.111332,-0.005083,0.267172,-0.070419,-0.325069,-0.434914,0.000496,-0.702953,0.145922,-0.333004,-0.173197,-0.679522,-0.172205,0.465536,-0.118399,-0.705929,0.681257,-0.238905,-0.227003,0.212374,-0.017481,-0.337343,-0.192909,-0.083437,0.816517,-0.197124,-0.408258,0.141706,-0.755272,0.206175,-0.600176,0.347261,-0.603151
