LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.780966,8.426886,-0.031242,7.692938,8.267202,8.340597,8.494205,8.072433,8.360682,,7.682028,8.838491,8.479948,8.593884,8.505859,8.435316,8.037348,8.069954,7.98069,7.993088,8.151655,8.442135,8.545532,8.919449,7.860184,8.203974,8.898745,7.655001,9.146204,7.685871,8.793859,8.093634,-0.03273,8.167276,7.853489,8.625622,8.380394,8.633184,8.37965,8.342457,9.564381,7.52346,8.366756,9.962969,8.238192,8.797703,8.176947,8.135538,8.674345
8.092642,7.639999,-0.031366,8.185377,8.45726,8.874817,8.130703,8.342085,8.802786,,8.151779,8.381262,8.498421,8.617439,8.971148,8.80229,8.919821,9.139509,8.772411,7.814064,8.011684,8.560905,8.971148,9.581242,8.907423,8.320513,8.319149,8.288527,8.377914,8.093386,9.337997,9.124012,-0.032978,8.308859,9.113226,8.934078,8.354607,9.066486,8.202734,8.986521,6.269426,8.228521,9.373703,6.263723,8.041687,8.292122,7.467051,7.668638,8.00499
0.272131,0.950537,-0.032234,1.297054,0.759115,0.944834,0.505085,0.791845,0.902681,,1.052942,0.221796,0.660801,0.273619,1.047611,0.739403,1.443968,1.109476,1.116543,0.275602,0.535212,0.937147,0.890903,0.508432,1.593733,0.680265,0.409746,1.153364,0.413837,0.945082,0.826435,1.082821,-0.033226,1.228371,1.475582,0.806723,0.450907,0.210514,0.953016,1.013889,-1.579351,1.490707,0.896111,-1.10055,0.560999,0.670347,-0.647907,0.535088,-0.707541
-2.883348,-3.122501,-0.031366,-2.607498,-3.112955,-3.551588,-2.603035,-2.877398,-3.496542,,-3.746977,-3.555307,-3.015013,-3.680525,-3.498526,-3.307724,-3.555803,-3.528404,-3.236561,-2.846155,-3.329172,-2.847767,-3.379755,-3.462448,-2.762594,-3.178539,-3.056793,-3.011541,-3.30884,-3.005219,-3.911991,-4.072666,-0.032854,-2.432566,-3.255901,-3.671474,-3.125229,-3.435545,-2.862272,-3.550348,-2.301273,-2.384586,-3.696394,-1.681137,-2.985382,-2.68548,-2.538691,-3.15176,-2.52964
-1.207418,-1.622744,-0.03149,-2.058649,-1.43095,-1.858425,-1.136627,-1.963806,-2.185478,,-1.858053,-1.436653,-1.490831,-1.215725,-2.07613,-1.516495,-2.335615,-2.150021,-1.783295,-1.087284,-1.847391,-1.801023,-2.083321,-2.206678,-2.004719,-1.572905,-1.868095,-2.342186,-1.830034,-1.653862,-2.117662,-1.836109,-0.032606,-1.728001,-2.228622,-1.728249,-1.654482,-1.598072,-1.975088,-2.288008,0.953512,-1.833754,-1.725521,0.193157,-1.565342,-1.319122,-0.886812,-0.903549,-1.079721
1.166382,1.108732,-0.03211,0.742874,1.220808,1.140347,0.795689,0.333748,0.96715,,1.561871,1.226759,0.558023,1.578856,0.472231,1.313791,0.96777,1.396608,1.161423,0.819988,1.216593,0.512152,1.095839,0.535831,0.675926,1.434422,1.085052,0.587282,1.455374,0.934296,1.526785,1.330404,-0.033226,0.394373,0.957232,1.15634,1.028643,1.30784,0.560131,1.345901,1.554804,0.077238,0.678902,1.407146,1.095219,0.560751,1.06658,1.22118,1.176176
1.219568,1.83301,-0.031366,1.931572,1.238537,1.683369,1.157579,1.303005,2.622747,,1.574268,1.258869,0.952272,1.405287,1.609354,1.327057,2.214117,1.957607,1.46306,0.861645,2.126341,1.350861,1.715231,1.55654,1.316023,1.094227,1.56683,1.817265,2.054062,1.216345,1.967278,2.100306,-0.032854,0.951405,2.052326,1.525421,1.814661,1.976452,1.750689,2.101421,0.209026,1.321106,1.353712,0.848255,1.806107,1.301022,1.26544,0.794821,1.678038
0.162907,0.426483,-0.031118,0.930948,0.380611,0.394869,0.752792,1.070175,0.54327,,0.433798,0.265064,0.650263,0.140591,1.380243,0.030003,0.862389,0.119886,0.303869,0.365486,0.639477,1.177168,0.427971,1.086912,0.615301,0.502977,0.21225,0.548973,0.501614,0.0879,0.161543,0.946693,-0.032606,0.911112,0.684109,0.440741,0.653734,0.445576,0.647411,0.60997,-0.159435,1.361523,0.951529,0.108852,0.763206,0.93318,0.581455,0.023308,0.504465
-0.317135,-0.511656,-0.031614,-0.431814,-0.362759,-0.721674,0.24436,0.415077,-0.269156,,-0.137119,-0.087404,0.381975,-0.031862,0.097942,0.031862,-0.433798,-0.267296,-0.242128,0.230722,-0.68882,0.362387,-0.638485,0.092115,0.163774,0.362387,-0.838585,-0.702085,-0.712128,-0.26804,-0.606623,-0.559635,-0.032978,0.383587,-0.565586,-0.253906,-0.721674,-0.643692,-0.143938,-0.544882,0.433054,0.546618,0.338583,-0.527649,-0.471115,-0.057402,-0.367222,0.048599,-0.696011
0.407639,-0.181131,-0.031862,-0.497646,0.152988,-0.250187,-0.257874,-0.499506,-0.600672,,0.075378,0.108604,-0.202332,0.307589,-0.549593,0.233202,-0.14617,0.000496,0.337715,-0.112696,-0.332508,-0.37714,-0.016489,-0.716839,0.219193,-0.236673,-0.323334,-0.693283,-0.17766,0.448923,-0.148401,-0.645428,-0.032482,-0.326433,-0.258493,0.250435,-0.052195,-0.279198,-0.144682,-0.147038,0.888672,-0.199852,-0.336475,0.112944,-0.796061,-0.589018,-0.373421,0.400324,-0.553808
