LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.695545,8.33601,9.498672,9.245262,9.329195,8.636656,11.005993,8.943129,9.681664,,7.917709,9.164305,8.903332,9.963961,9.335518,9.902964,9.059296,10.235968,8.613224,10.567236,7.985649,8.506975,8.960733,10.290518,9.784317,10.103559,8.984661,8.094997,9.222698,9.435444,10.046406,10.197039,9.378166,9.6136,8.887587,10.100708,9.901972,10.02347,8.179178,8.793859,,7.640371,9.495573,,8.484287,9.853249,8.370476,8.474989,9.292622
7.238188,7.161198,6.779594,7.027798,7.4368,7.785921,7.339478,7.278481,7.738438,,7.406921,7.593756,7.554083,7.82795,7.921553,7.62599,8.088551,8.233604,7.88002,7.789145,6.932087,7.272406,7.678804,8.400354,7.940025,7.362661,7.057304,7.384233,7.58359,7.15723,8.333282,8.570204,6.041307,7.420063,8.191204,8.202858,7.651653,8.03586,7.148552,7.551479,,7.133179,8.279228,,7.335634,7.414608,6.031141,6.808357,7.074661
0.393381,0.745602,-0.960083,1.37702,0.655966,0.827675,0.756636,0.930948,1.084185,,1.053314,0.170097,0.416193,0.104513,0.839453,0.668488,1.178036,0.996161,0.925989,0.689068,0.493431,1.104145,0.925617,0.79011,1.626091,0.975456,0.556164,1.121998,0.615673,0.883341,0.680265,0.820112,-0.607738,1.361151,1.420164,0.529509,0.46566,0.525169,1.081829,0.891523,,1.505833,0.723162,,0.621252,0.79011,-0.151873,0.549097,-0.154228
-2.547245,-2.638121,-1.847143,-2.235813,-2.416077,-3.071175,-2.109852,-2.29991,-3.028278,,-3.498154,-3.104773,-2.449799,-3.042784,-2.671471,-2.597332,-3.191433,-2.956247,-2.665644,-2.594233,-2.88744,-2.424507,-2.995424,-3.118658,-2.170973,-2.885332,-2.697382,-2.791729,-3.09845,-2.486248,-3.36339,-3.200855,-1.794081,-2.017241,-2.902937,-3.136635,-2.76247,-3.054562,-2.525177,-3.069191,,-2.011414,-2.895994,,-2.552204,-2.098694,-2.161303,-2.653122,-2.183123
-1.132908,-1.492195,0.37714,-1.61171,-1.118031,-1.494179,-0.974836,-1.723413,-1.921654,,-1.189814,-1.204195,-1.388054,-0.876894,-2.046127,-1.106377,-1.926613,-1.704073,-1.385946,-0.976076,-1.63291,-1.488104,-1.721058,-1.892891,-1.658573,-1.062489,-1.413345,-2.022448,-1.412725,-1.274862,-1.658077,-1.65597,1.033974,-1.478558,-1.731844,-1.285028,-1.245356,-1.428099,-1.866236,-1.781435,,-1.759615,-1.580715,,-1.597948,-1.204443,-0.762711,-0.728493,-1.011286
0.989714,1.087532,0.724525,0.65361,0.748453,0.881233,0.649271,0.224524,1.17506,,1.19626,1.044388,0.640221,1.362019,0.392389,0.986366,1.089268,1.371689,0.977936,0.751429,1.160803,0.197248,1.113319,0.410738,0.55356,1.052322,1.092739,0.846395,1.392145,0.829287,1.446323,1.206551,1.218948,0.139971,1.003599,1.0853,1.033106,1.347637,0.547609,1.298418,,0.105133,0.605011,,1.05505,0.41235,1.038685,0.965662,1.177044
1.183243,1.625595,0.253038,1.711636,1.184483,1.489468,1.016865,1.242132,2.109604,,1.345778,1.080341,0.653734,1.04352,1.656837,1.089516,2.048855,1.611958,1.275358,0.852718,1.867723,1.318998,1.425743,1.506329,0.970373,1.007071,1.48798,1.58989,2.020588,0.940123,1.709032,2.032738,-0.00062,0.946941,1.742134,1.162786,1.716471,1.879005,1.661549,1.807594,,1.132784,1.302137,,1.724405,1.218576,1.174068,0.644684,1.672459
0.071659,0.349989,0.286388,0.840321,0.240145,0.192165,0.91136,0.971241,0.624599,,0.395117,0.225515,0.918427,0.195761,1.221304,0.1577,0.661049,0.12063,0.095091,0.487604,0.486984,1.137743,0.191298,1.028023,0.71064,0.762215,-0.050707,0.497894,0.240889,0.061245,0.135136,0.810566,-0.473223,1.050463,0.482521,0.351229,0.426731,0.396109,0.545502,0.380487,,1.278086,0.903053,,0.738287,0.91198,0.510416,0.106745,0.361395
-0.243616,-0.566454,0.605135,-0.404663,-0.03087,-0.500498,0.187702,0.421524,-0.208035,,0.013266,0.118275,0.258245,0.200844,0.125093,0.225639,-0.30858,-0.047235,0.061617,0.170841,-0.55728,0.312796,-0.480661,0.038185,0.240021,0.381975,-0.814161,-0.846024,-0.634766,-0.016241,-0.487852,-0.507812,0.152245,0.335112,-0.385818,-0.029135,-0.599804,-0.649147,-0.188322,-0.390902,,0.509052,0.328417,,-0.549097,-0.050087,-0.401936,0.237541,-0.632782
0.409126,0.041161,0.138483,-0.396729,-0.054054,-0.185966,-0.307465,-0.413465,-0.689812,,0.124846,0.196381,-0.334864,0.196629,-0.646296,-0.203695,-0.013638,-0.29705,0.404167,-0.190306,-0.174189,-0.579224,0.209646,-0.603027,0.261841,-0.491199,-0.104141,-0.523062,-0.177164,0.363131,-0.017729,-0.592365,0.790854,-0.431194,-0.160799,0.24498,0.02306,-0.177784,-0.047731,0.037069,,-0.256386,-0.312672,,-0.655594,-0.514135,-0.352592,0.284777,-0.445576
