LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.876553,8.203726,10.110874,7.352619,7.848778,7.815056,8.308611,7.689219,7.923784,,7.759266,8.615332,8.235216,8.188229,8.044786,7.805262,7.587929,7.874813,7.560282,7.789764,7.873325,8.037596,8.301792,8.235588,7.341337,7.772408,8.291378,7.488995,9.065866,7.252321,8.239679,7.810469,9.24861,7.992344,7.762365,8.14868,8.191824,8.240547,8.121405,8.066359,9.30006,7.340841,8.095617,9.597483,8.420315,8.360806,8.05582,7.867498,8.198519
7.876549,7.695541,7.272158,8.189344,9.023962,8.831177,8.531895,8.266335,8.88238,,8.1038,8.578634,8.545532,8.946228,9.119053,8.977842,9.379406,9.078264,8.945732,8.136654,7.673969,8.462219,9.237452,9.856348,9.038839,8.5888,8.495197,8.452425,8.568344,8.721581,9.506235,9.011564,6.025934,8.304768,9.124632,9.103804,8.32324,9.209557,8.446722,8.995819,6.693926,8.211288,9.29287,6.544781,8.107519,8.500156,8.030033,7.329063,8.297701
0.3092,0.852098,-1.200724,1.13266,0.754652,0.954628,0.394621,0.680637,0.978804,,1.134024,0.335608,0.506821,0.257626,1.301517,0.6458,1.40851,1.0672,1.167498,0.238905,0.482893,0.809078,0.813789,0.408134,1.58493,0.548353,0.155716,1.124477,0.368338,0.948305,1.025295,1.373549,-0.771885,1.089144,1.657705,0.815029,0.539675,0.327673,1.079473,1.102285,-1.607742,1.454258,1.083441,-1.188326,0.634022,0.561495,-0.657949,0.559511,-0.778704
-2.953768,-2.98625,-2.282801,-2.547865,-3.156099,-3.440504,-2.860909,-2.898722,-3.594732,,-3.735571,-3.749456,-3.238173,-3.636885,-3.635893,-3.332272,-3.65449,-3.429842,-3.3319,-2.894011,-3.239164,-2.720318,-3.49493,-3.587294,-2.785158,-2.979927,-2.776604,-2.967901,-2.998524,-3.157463,-3.768673,-4.216356,-2.489967,-2.539682,-3.334255,-3.830538,-2.774248,-3.450174,-3.085556,-3.655109,-2.489595,-2.426739,-3.688831,-1.917191,-2.955503,-2.771273,-2.808342,-3.089895,-2.622499
-1.12175,-1.74263,0.384703,-1.964922,-1.515627,-2.083073,-1.37702,-1.960335,-2.305861,,-2.021456,-1.581707,-1.46244,-1.525173,-2.067823,-1.531868,-2.655725,-2.115927,-1.938639,-1.066332,-1.861773,-1.876278,-2.273254,-2.100677,-1.920166,-1.846151,-1.8888,-2.459469,-2.143822,-1.747341,-2.061005,-1.850491,1.285152,-1.721678,-2.459717,-1.985378,-2.060013,-1.702833,-1.924753,-2.430954,0.738907,-1.968765,-1.745358,0.172453,-1.625347,-1.304493,-0.850115,-0.94285,-1.133156
0.928345,1.044264,0.994177,0.551577,1.328669,1.011038,0.862513,0.428467,0.697002,,1.538687,1.271763,0.793209,1.615057,0.528889,1.267424,1.047859,1.393633,1.081829,0.93504,1.162043,0.349369,1.095963,0.469007,0.601788,1.37826,1.225271,0.643196,1.40851,1.08592,1.493187,1.01922,1.295195,0.262337,1.068068,1.24424,1.091499,1.297302,0.512152,1.242256,1.592493,0.037317,0.659933,1.381483,0.993681,0.595465,0.973597,1.198244,1.184111
1.049843,1.807346,0.228739,1.904545,1.265688,1.770029,1.173944,1.155472,2.819748,,1.606627,1.249695,0.703201,1.426859,1.501865,1.214609,2.221432,2.055054,1.542902,0.891895,1.959715,1.439133,1.724281,1.528645,1.309452,1.113939,1.683741,1.83053,2.093859,1.339579,2.013769,2.121258,0.08976,1.07687,2.030754,1.470127,1.871443,1.979179,1.830902,2.121258,0.295439,1.222296,1.562119,0.799656,1.867104,1.18969,1.237917,0.762587,1.640596
0.162535,0.587282,0.219316,0.965166,0.322218,0.352468,0.737171,0.891275,0.549965,,0.370941,0.300646,0.468636,-0.038061,1.348257,0.132656,0.848379,0.092735,0.296803,0.3547,0.463924,1.065092,0.319738,1.004839,0.688076,0.490208,0.011158,0.6215,0.658817,0.120258,0.36871,0.781803,-0.528145,0.772629,0.749321,0.271511,0.482645,0.615177,0.623236,0.508556,-0.321846,1.282673,0.738535,0.062733,0.904293,0.877266,0.432434,-0.150013,0.534716
-0.332384,-0.560627,0.596581,-0.387182,-0.227995,-0.901442,0.114555,0.229483,-0.470991,,-0.261841,-0.21944,0.395241,-0.097942,0.14555,-0.174313,-0.467768,-0.507441,-0.225143,0.117283,-0.622864,0.220432,-0.65671,0.039177,0.184851,0.280437,-0.815773,-0.704069,-0.717583,-0.322218,-0.685596,-0.521326,0.002604,0.368462,-0.491819,-0.283909,-0.448675,-0.633774,-0.260725,-0.518351,0.440989,0.473843,0.328417,-0.414085,-0.333252,0.031738,-0.219688,0.010042,-0.784035
0.265312,-0.168486,0.246468,-0.466528,0.238905,-0.339079,-0.103893,-0.449667,-0.453882,,0.23097,0.087156,-0.170221,0.274982,-0.570049,0.403795,-0.270147,0.288248,0.181875,0.057526,-0.510788,-0.35284,-0.197248,-0.600176,0.106497,-0.186338,-0.269403,-0.723286,-0.294323,0.288,-0.138483,-0.632906,0.688448,-0.21101,-0.207787,0.120134,-0.221424,-0.227375,-0.138359,-0.196133,0.823336,-0.531616,-0.365114,0.083437,-0.712004,-0.624104,-0.537691,0.187578,-0.522194
