LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.73435,8.338242,9.404573,7.826214,8.245754,8.100824,8.521976,7.916098,8.442507,,7.777987,8.610125,8.587561,8.772039,8.51181,8.285427,8.086691,8.04553,7.714138,8.144588,8.094997,8.450193,8.769064,8.762989,7.782202,8.163929,8.792744,7.717981,8.999043,7.68302,8.904324,8.325844,9.402218,8.324976,7.942257,8.726788,8.462095,8.653517,8.120041,8.372955,9.673729,7.489243,8.742905,9.755306,8.401098,8.69071,8.039455,8.107891,8.739805
8.175211,7.595739,7.533007,8.166656,8.387213,8.704844,8.11347,8.055696,8.830929,,7.897377,8.311834,8.299561,8.580618,8.804646,8.53301,9.002018,8.962593,8.775387,8.075037,7.862911,8.241787,9.040203,9.473257,8.83688,8.389072,8.195295,8.334646,8.334398,7.976847,9.439163,9.039335,5.961714,8.169136,9.033508,8.938913,8.350763,8.849649,8.254185,8.897505,6.197891,8.170252,9.533138,6.066599,8.141737,8.21228,7.416096,7.605038,8.173475
0.453882,0.9762,-1.340322,1.27449,0.650635,1.057281,0.572653,0.897598,1.040297,,1.181383,0.224771,0.595961,0.218945,1.094971,0.700474,1.307468,1.101665,1.041908,0.412722,0.627699,1.037817,0.828047,0.587034,1.610594,0.605135,0.214853,0.970249,0.496902,1.059017,0.840693,1.247091,-0.572529,1.185722,1.54563,0.727253,0.45289,0.388546,0.940742,0.952396,-1.540546,1.471987,1.003475,-1.011162,0.686588,0.632658,-0.617037,0.515375,-0.537815
-2.888308,-3.071051,-2.071791,-2.528896,-3.037949,-3.606014,-2.664404,-2.756271,-3.400335,,-3.603411,-3.558531,-3.070927,-3.510056,-3.315411,-3.08754,-3.471127,-3.47311,-3.179035,-2.932692,-3.353968,-2.776232,-3.323345,-3.499641,-2.757015,-3.128948,-2.858801,-2.819624,-3.417568,-3.055058,-3.874922,-3.99518,-2.198496,-2.41868,-3.313551,-3.776236,-3.075266,-3.23061,-2.772017,-3.579359,-2.247839,-2.334871,-3.644695,-1.614933,-2.937651,-2.556419,-2.413473,-3.15486,-2.427607
-1.436901,-1.685724,0.444212,-2.025547,-1.242008,-1.791725,-1.145182,-1.789122,-2.371941,,-1.771641,-1.319742,-1.363754,-1.120758,-2.015009,-1.403055,-2.270403,-1.937771,-1.704941,-1.045628,-1.914339,-1.673574,-1.994305,-2.094231,-1.913595,-1.481533,-1.803751,-2.43021,-1.596336,-1.522694,-1.941738,-1.923761,1.082821,-1.637993,-2.107744,-1.624231,-1.536083,-1.787386,-1.958723,-2.159319,0.927973,-1.888924,-1.845655,0.237293,-1.573772,-1.220684,-0.758619,-0.832758,-1.159687
1.283045,1.206427,1.006699,0.792837,1.138487,1.099062,0.808334,0.329905,1.17506,,1.48798,1.210146,0.67605,1.623611,0.391769,1.257629,1.027155,1.20965,1.109972,0.787258,1.338463,0.447683,0.989838,0.60811,0.648279,1.2218,1.208162,0.768785,1.369209,1.023932,1.438761,1.310568,1.397724,0.389042,1.027279,1.240768,0.971985,1.40132,0.534344,1.323338,1.670847,0.149641,0.766306,1.240892,0.935659,0.584803,1.007071,1.136379,1.270027
1.248083,1.853714,0.276966,1.940994,1.158571,1.833382,1.112204,1.238041,2.537947,,1.662292,1.268291,0.838213,1.194649,1.784906,1.134892,2.223043,2.082825,1.426363,0.938263,2.070055,1.374788,1.822472,1.530876,1.281309,1.338711,1.572285,1.808462,2.150269,1.20903,1.992445,2.201223,0.004959,1.04414,2.105761,1.543646,1.988974,2.028894,1.829414,2.218828,0.294447,1.223164,1.484385,0.976076,1.946821,1.214113,1.23395,0.829287,1.833382
0.256758,0.548105,0.349121,1.046743,0.464916,0.267296,0.785522,1.103649,0.627079,,0.35718,0.373049,0.8216,0.241137,1.302137,0.127945,0.833998,0.148525,0.344906,0.40082,0.704317,1.292343,0.504465,1.226759,0.704813,0.555296,0.158939,0.739899,0.473471,0.179892,0.197124,0.921402,-0.557032,0.915079,0.655346,0.328665,0.668488,0.535336,0.778332,0.573397,-0.176916,1.423388,1.046124,0.115423,0.941114,0.906649,0.632162,0.025539,0.547857
-0.323706,-0.580339,0.538683,-0.394745,-0.274611,-0.765686,0.259237,0.428219,-0.271759,,0.008802,-0.089636,0.341682,0.033598,0.189438,0.105505,-0.252419,-0.293207,-0.05331,0.248575,-0.692291,0.345526,-0.587282,-0.022192,0.250063,0.329905,-0.885324,-0.792465,-0.749693,-0.243492,-0.68696,-0.539179,0.134764,0.469255,-0.510292,-0.238285,-0.611582,-0.655346,-0.205927,-0.549841,0.513268,0.62336,0.248327,-0.244236,-0.483761,-0.003843,-0.342426,0.166626,-0.74275
0.315523,-0.188694,0.166254,-0.55356,0.230103,-0.126705,-0.12435,-0.474958,-0.503473,,0.203943,0.126209,-0.02306,0.242872,-0.515995,-0.027275,-0.047731,-0.183239,0.209274,-0.054054,-0.377264,-0.40082,0.035954,-0.648527,0.303745,-0.212126,-0.139971,-0.687828,-0.118399,0.532608,0.041533,-0.623608,0.846767,-0.328913,-0.121374,0.392761,-0.128689,-0.192165,-0.05331,-0.052814,0.776348,-0.357924,-0.325193,0.018845,-0.72998,-0.525293,-0.462809,0.360527,-0.449419
