LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.642359,8.804893,9.530783,9.601574,9.929247,8.539581,9.024954,10.188112,10.399494,,8.390188,9.275513,8.932095,10.195551,9.380398,10.541077,9.358702,8.578262,8.623142,8.570204,8.042679,8.609133,9.010077,11.195059,8.33601,10.672369,9.398003,8.351259,9.386473,8.315802,10.944748,8.621159,10.952559,8.674097,9.438543,9.567108,10.553722,11.015787,8.449326,8.890562,,7.754927,10.307007,,8.589296,10.424042,8.765345,9.942389,10.283451
7.210169,7.257156,6.985025,7.193432,7.611485,7.981434,6.975603,7.430973,7.966309,,7.612352,7.682028,7.634172,7.82795,7.987013,7.9461,8.269062,8.093634,7.935438,7.491474,6.952791,7.263603,7.830801,8.552351,8.034744,7.373943,7.319765,7.67992,7.536478,6.906052,8.601198,8.368864,6.161318,7.320261,8.248482,7.995319,7.742033,8.166904,7.260132,7.934198,,7.395639,8.706951,,7.205706,7.520981,6.134539,7.063875,7.353983
0.416565,0.915699,-0.843668,1.510172,0.889044,0.833378,0.788994,1.173944,1.039305,,1.244736,0.340071,0.57972,0.269403,0.916071,0.837097,1.384706,1.119022,1.120138,0.677414,0.559635,1.182003,1.058645,0.836353,1.57774,1.084805,0.577364,1.198616,0.614929,1.031742,0.727625,1.035337,-0.521574,1.370697,1.558771,0.711384,0.632038,0.553436,1.14481,0.985746,,1.53224,0.917807,,0.77672,0.973225,-0.106001,0.709028,-0.040541
-2.42835,-2.511787,-1.714735,-2.156343,-2.370205,-3.017368,-2.01972,-2.392149,-2.996292,,-3.57626,-3.096218,-2.493315,-2.98501,-2.63217,-2.748337,-3.062,-3.039064,-2.631178,-2.450171,-2.84008,-2.242508,-3.0196,-2.944965,-2.184734,-2.775612,-2.547121,-2.64246,-2.906284,-2.56299,-3.217344,-3.298922,-1.577864,-2.017365,-2.799664,-3.035469,-2.664652,-2.865124,-2.4891,-3.14023,,-1.886196,-2.922029,,-2.417068,-2.059889,-2.056665,-2.580099,-2.158699
-1.125221,-1.558523,0.491943,-1.652126,-1.024055,-1.613569,-0.923882,-1.597576,-1.951904,,-1.538315,-1.185102,-1.245975,-0.835857,-1.736927,-1.092987,-2.005711,-1.574888,-1.388798,-0.906401,-1.639233,-1.470871,-1.602039,-1.902809,-1.688824,-0.989094,-1.497278,-1.913347,-1.3521,-1.183987,-1.474838,-1.649523,0.935907,-1.37578,-1.740646,-1.337719,-1.173944,-1.358919,-1.578856,-1.799536,,-1.56435,-1.528645,,-1.47459,-1.10117,-0.83251,-0.582571,-1.015129
1.01984,1.27759,0.706797,0.943346,0.997152,1.119394,0.541782,0.09819,1.218452,,1.383467,1.124477,0.750685,1.419668,0.469999,1.136007,1.174688,1.353092,1.057281,0.941114,1.226139,0.313044,1.079969,0.610342,0.66452,1.175928,1.211262,0.803747,1.486368,1.052694,1.480045,1.280069,1.363258,0.195389,1.059265,1.09993,1.147909,1.36735,0.537071,1.535587,,-0.074635,0.671463,,0.991945,0.447559,1.082201,0.996904,1.275234
1.135387,1.772757,0.366478,1.849251,1.181755,1.510296,1.23085,1.297302,2.20891,,1.427107,1.176796,0.655346,1.190681,1.70085,1.125717,2.055922,1.765318,1.368713,0.796432,2.048111,1.281805,1.580839,1.457977,1.170101,0.975704,1.617661,1.805487,1.94459,1.035213,1.911612,2.02282,0.057526,0.981159,1.910744,1.310072,1.782055,1.925497,1.849623,1.83053,,1.330404,1.403923,,1.891403,1.407766,1.228495,0.717831,1.675186
0.210762,0.528765,0.41235,0.86648,0.306349,0.360279,0.84528,1.087532,0.672951,,0.473719,0.23097,1.001987,0.24684,1.262093,0.115175,0.694771,0.129433,0.296555,0.582571,0.514755,1.241884,0.222168,1.209402,0.708656,0.797672,0.13216,0.467024,0.433302,0.066328,0.169973,0.839577,-0.434542,1.048727,0.533972,0.391521,0.459957,0.521946,0.638733,0.411234,,1.364126,1.092739,,0.850239,0.966034,0.646667,0.14183,0.455122
-0.142698,-0.526409,0.733452,-0.299654,0.162907,-0.592489,0.291348,0.443096,-0.234442,,0.130796,0.133028,0.299654,0.178528,0.214233,0.267792,-0.153236,-0.027523,0.070667,0.250559,-0.564842,0.483761,-0.314531,0.193281,0.44198,0.411606,-0.651751,-0.580587,-0.456486,0.148153,-0.49901,-0.47719,0.135756,0.425243,-0.319118,0.006695,-0.45537,-0.576868,-0.145922,-0.336723,,0.534964,0.385075,,-0.418177,0.00062,-0.302505,0.307093,-0.607615
0.276222,-0.026655,0.094967,-0.330153,0.07513,-0.032358,-0.289364,-0.428839,-0.472479,,0.304861,0.265188,-0.059881,0.389042,-0.487728,-0.011778,0.040293,-0.251427,0.422268,0.016365,-0.15398,-0.480042,0.148897,-0.60811,0.240517,-0.266676,-0.118399,-0.476942,-0.007935,0.567322,0.110092,-0.478926,0.985994,-0.236797,0.020084,0.285892,0.003595,-0.106745,0.060005,0.137367,,-0.237665,-0.375652,,-0.675678,-0.478306,-0.432186,0.436525,-0.352468
