LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.89081,8.255053,0.060997,7.435188,8.276997,8.034744,8.539457,7.737818,8.229265,,8.212652,8.819399,8.31481,8.519249,8.241415,8.198643,7.829065,7.997923,7.788153,7.985525,8.200254,8.294725,8.403206,8.517885,7.581978,8.101444,8.598471,7.730131,9.293737,7.139874,8.620291,8.126364,9.192076,8.353987,7.956762,8.337746,8.550243,8.572187,8.185129,8.225794,9.455032,7.513418,8.342829,9.81246,8.523216,8.798571,8.433704,8.145456,8.467054
7.759266,7.795219,0.060377,8.430357,8.7708,8.97995,8.479328,8.474121,9.219351,,8.260508,8.566236,8.58161,9.084463,9.323492,9.165792,9.520121,9.011564,9.154882,7.98255,7.974739,8.538094,9.4135,9.561405,9.32436,8.837624,8.604174,8.479948,8.625498,8.947716,9.465694,9.097481,6.167021,8.676577,9.453669,9.525576,8.462963,9.467678,8.43358,9.299936,6.693678,8.455896,9.53537,6.270666,8.276005,8.485775,8.088799,7.531023,8.113718
0.379,0.860653,0.060749,1.309452,0.771637,1.047239,0.588026,0.992069,1.033602,,1.210146,0.340815,0.541658,0.146542,1.211386,0.637865,1.41223,1.31094,1.153116,0.349989,0.546246,1.039925,0.903549,0.598688,1.556168,0.614061,0.239525,1.212502,0.430326,0.919418,0.989466,1.324329,-0.58567,1.212626,1.639233,0.752792,0.730352,0.316515,1.040049,1.128569,-1.501122,1.470995,1.102533,-0.967026,0.738287,0.602407,-0.484381,0.413961,-0.397348
-2.825823,-2.858305,0.060625,-2.493067,-2.981415,-3.401947,-2.745733,-2.837601,-3.488235,,-3.510056,-3.650522,-2.958107,-3.645067,-3.552084,-3.310699,-3.459969,-3.454514,-3.253298,-2.891779,-3.159571,-2.605639,-3.433189,-3.38707,-2.553072,-3.072042,-2.877522,-2.937775,-3.238668,-3.016129,-3.868103,-3.95154,-2.270651,-2.555552,-3.32818,-3.746109,-3.038197,-3.355827,-2.968769,-3.614073,-2.437153,-2.493191,-3.756895,-1.914339,-2.835493,-2.660809,-2.510176,-3.031626,-2.431946
-1.213989,-1.588278,0.060749,-2.071295,-1.435041,-1.872807,-1.048851,-1.736431,-2.372684,,-2.048607,-1.53038,-1.301022,-1.237421,-2.051458,-1.430082,-2.521706,-2.058525,-1.843176,-0.984879,-1.846895,-1.783295,-2.080965,-2.067947,-2.155848,-1.795321,-1.804123,-2.292595,-1.631546,-1.692915,-1.845284,-1.680145,1.129808,-1.72924,-2.400703,-1.835613,-1.731968,-1.796064,-1.945457,-2.328548,0.8671,-1.846027,-1.672211,0.318871,-1.668987,-1.320114,-0.775232,-0.820236,-0.979548
1.190929,1.111584,0.060377,0.810566,1.227255,1.117659,0.923386,0.459585,1.405163,,1.57836,1.430206,0.762959,1.761103,0.581827,1.35582,1.105881,1.437521,1.21932,1.105137,1.393013,0.428591,1.093855,0.642452,0.730972,1.450415,1.368713,0.693407,1.393881,1.130552,1.624479,1.140223,1.334743,0.446196,1.149149,1.372681,1.139479,1.392269,0.650387,1.380987,1.778336,0.290604,0.832138,1.406898,0.951405,0.741882,1.135139,1.282053,1.171713
1.227627,1.859293,0.060625,1.965542,1.389294,1.840572,1.243124,1.281805,2.572412,,1.841688,1.395369,0.932684,1.43219,1.836357,1.290236,2.404423,2.113819,1.628199,0.975332,2.017736,1.501989,1.919918,1.693659,1.447811,1.471119,1.649027,1.973104,2.229738,1.368341,2.016373,2.107,0.27833,1.075506,2.218704,1.524801,2.033358,2.225771,1.942482,2.33078,0.272503,1.369581,1.471119,0.993061,2.024679,1.350365,1.465788,0.821476,1.687832
0.381727,0.633278,0.059633,1.138239,0.601168,0.470371,0.706425,1.046867,0.705557,,0.480785,0.392885,0.695143,0.400696,1.437273,0.26494,0.995913,0.285025,0.466528,0.341806,0.74275,1.24424,0.530005,1.042032,0.690184,0.386686,0.341187,0.740767,0.698366,0.259237,0.422888,0.980663,-0.550213,1.026783,0.839081,0.424747,0.677414,0.669355,0.862141,0.645428,0.022688,1.40851,1.001616,0.184975,0.948677,0.902061,0.714359,0.057402,0.601788
-0.351229,-0.356932,0.060625,-0.382347,-0.396109,-0.630922,0.424252,0.496035,-0.281181,,0.031614,-0.085793,0.433798,-0.199852,0.325689,0.074263,-0.379,-0.333128,-0.168238,0.404539,-0.574017,0.468264,-0.55728,0.185223,0.264072,0.56571,-0.863628,-0.515995,-0.65609,-0.14431,-0.714979,-0.304861,0.122614,0.469751,-0.452766,-0.143194,-0.580463,-0.57724,-0.170965,-0.488472,0.434542,0.586414,0.419168,-0.294943,-0.325813,0.13216,-0.129309,0.140715,-0.639353
0.303621,-0.240641,0.060749,-0.38805,0.23035,-0.103025,-0.082197,-0.203323,-0.45289,,0.225267,0.206299,-0.048351,0.37528,-0.613194,0.121622,-0.029383,-0.037193,0.326805,0.018349,-0.302629,-0.317631,0.129309,-0.520086,0.224648,-0.216093,-0.172701,-0.652866,-0.145922,0.727625,0.006819,-0.562487,0.774612,-0.184107,-0.080338,0.289488,-0.091,-0.159063,-0.074883,-0.070915,0.938015,-0.190926,-0.159311,0.084057,-0.59968,-0.568562,-0.494299,0.426979,-0.411978
0.065212,0.874043,0.060625,0.512896,-0.148773,0.691423,-0.257874,-0.250063,0.180759,,0.263948,0.180264,0.242996,0.304241,0.087156,-0.401564,0.646915,-0.273247,0.694523,-0.296803,0.757132,-0.429087,0.714607,-0.405035,0.140839,-0.337467,0.753784,0.485744,0.989962,0.795441,0.641708,0.360527,0.636377,-0.271511,0.648403,0.275106,0.727749,0.7337,0.458965,0.593233,-0.092239,0.224152,-0.214109,0.648031,0.190182,-0.057774,0.227251,-0.019464,0.598316
0.142574,0.794945,0.060377,0.949793,0.295563,0.613194,0.457726,0.45723,0.802011,,-0.001488,-0.186958,0.478678,-0.013266,0.829411,0.115299,0.498018,0.280933,0.06484,0.13278,0.740519,-0.138855,0.557775,0.407763,-0.05703,0.344906,0.855818,1.024179,0.943346,0.103893,0.198116,1.103277,-0.138359,0.036697,0.752296,-0.090008,0.84342,0.915327,0.19043,0.439253,0.025663,0.486364,0.645676,0.438385,0.816269,0.706301,0.920782,-0.277338,0.793209
0.231218,-0.038681,0.060005,0.356808,0.540295,-0.118771,0.939007,0.897474,0.127821,,0.415573,0.168362,0.551701,0.127573,0.770769,0.67667,0.044384,0.65609,-0.227995,0.598936,0.032482,0.430326,-0.156336,1.080465,0.256262,0.542774,-0.054674,0.153856,-0.185099,-0.384455,-0.136499,0.6003,-0.240393,0.807714,0.023804,0.207787,-0.098066,-0.010414,0.28676,-0.052814,0.464544,0.072651,0.834494,-0.119886,0.312424,0.667248,0.646296,0.157948,-0.035706
0.449171,-0.299282,0.060873,-0.37714,0.747709,0.43231,0.57662,0.204067,0.256014,,0.7094,0.642452,-0.017233,0.859289,0.035582,0.396729,0.121126,0.291595,0.321102,0.522442,-0.207787,0.963926,0.216093,0.400324,0.716591,0.089512,-0.145178,-0.347137,-0.413713,0.331888,0.029507,-0.416069,0.327673,0.596828,-0.153484,0.355444,-0.365114,-0.458717,0.958347,0.13402,0.106249,-0.15274,0.367098,-0.165386,-0.334988,0.087776,-0.241385,0.791721,-0.269527
0.434914,0.113564,0.060129,-0.21944,0.333004,0.710392,-0.26804,-0.293951,0.247459,,0.591497,0.887308,-0.238161,0.508308,-0.316887,0.324697,0.639229,0.221796,0.508928,-0.167742,0.181131,0.415821,0.998764,-0.314779,0.698986,-0.335112,0.423384,0.293455,0.294571,0.43355,0.730228,-0.263577,0.862017,0.210886,0.232086,0.633898,0.180387,0.205555,-0.058641,0.767794,-0.344162,0.654478,-0.42388,0.436525,-0.057402,-0.348253,-0.533848,0.359163,0.1789
0.288992,0.19105,0.060501,0.689068,-0.186958,-0.072899,-0.284653,0.226755,-0.14183,,-0.388298,0.138235,0.367346,-0.373545,0.374537,0.356436,0.643196,0.353708,-0.244856,0.324821,0.969629,-0.485125,0.142202,-0.0879,-0.103521,0.081701,0.413342,0.598936,0.639353,0.239897,-0.062981,0.526905,0.433798,-0.35346,0.129557,0.244484,0.634766,0.563602,0.016985,0.532856,0.634394,0.545254,0.136871,0.63303,0.63303,0.279942,0.184851,-0.303249,0.636377
-0.17766,0.179644,0.059509,0.060625,-0.146914,-0.209274,0.123854,0.398216,-0.259857,,-0.737171,-0.078602,0.777588,-0.797672,0.914831,0.005207,0.040293,0.260229,-0.188322,0.31354,0.436525,-0.01091,-0.018969,0.692291,-0.090504,0.682373,0.007811,0.20977,0.241385,0.010538,0.252171,0.364494,-0.204439,0.31949,-0.03211,-0.124102,0.214357,0.305977,0.06856,-0.200472,0.367718,-0.113564,0.786018,-0.160055,0.286016,1.035089,0.264444,0.117283,0.265932
