LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.567228,8.157606,-0.057898,7.30278,7.743397,7.86787,8.244762,7.617435,7.854605,,7.802162,8.53611,8.192568,8.209925,8.030653,7.805758,7.540817,7.624998,7.355843,7.727156,7.837372,8.013048,8.454781,8.254929,7.409525,7.928991,8.390932,7.434568,8.909531,7.052221,8.257532,7.817287,9.216747,7.988005,7.527304,8.261995,8.290882,8.317289,8.006105,7.82423,9.361553,7.377787,8.22629,9.56624,8.454285,8.492718,8.029785,7.850142,8.31605
7.729387,7.621899,-0.057774,8.113222,8.571692,8.701992,8.300552,8.2372,8.883495,,7.876921,8.404198,8.162565,8.633928,8.851385,8.794355,9.295225,8.94412,8.63616,7.724056,7.60355,8.45602,9.093761,9.505243,9.009581,8.568096,8.176947,8.22567,8.236828,8.388205,9.158726,8.923664,6.092262,8.291874,9.067478,9.103804,8.015776,9.037971,8.194056,8.991976,6.289635,7.870102,9.0557,6.331167,8.073673,8.300924,7.89155,7.425022,8.264599
0.202827,0.648651,-0.058641,1.234198,0.630922,0.920286,0.426979,0.834866,0.879745,,1.099682,0.141087,0.596828,0.232582,1.059637,0.55418,1.347885,1.068935,1.049471,0.349989,0.490456,0.84466,0.80945,0.543146,1.444464,0.587406,0.20196,1.126089,0.253782,1.018972,0.827427,1.407642,-0.887556,1.116667,1.552572,0.851727,0.471611,0.111208,0.826311,1.004219,-1.601915,1.531868,0.971861,-1.205807,0.614185,0.435781,-0.580339,0.336599,-0.77486
-2.944345,-3.061752,-0.05827,-2.632914,-3.234949,-3.6199,-2.992201,-2.948561,-3.495302,,-3.73024,-3.578863,-3.153248,-3.602295,-3.61804,-3.190813,-3.689947,-3.610601,-3.316278,-3.026791,-3.11655,-2.915211,-3.523817,-3.643456,-2.857065,-3.186846,-2.930832,-3.242016,-3.258381,-3.206186,-3.857689,-4.16503,-2.133284,-2.625103,-3.457117,-3.769169,-3.007698,-3.47683,-3.003359,-3.699369,-2.375288,-2.450294,-3.681889,-1.925497,-2.998524,-2.692795,-2.832394,-3.00993,-2.695894
-1.526041,-1.781683,-0.058146,-2.076998,-1.591005,-2.088404,-1.251554,-1.984758,-2.495546,,-2.011538,-1.642332,-1.494551,-1.453638,-2.088404,-1.679525,-2.50906,-2.156343,-1.996412,-1.245604,-1.993685,-1.816149,-2.169857,-2.137995,-1.981659,-1.779079,-1.829166,-2.320986,-1.878881,-1.758251,-2.095718,-1.991825,0.924253,-1.728497,-2.411737,-1.891155,-1.834373,-1.840572,-2.031994,-2.394381,0.69068,-2.006826,-1.800032,0.076494,-1.726637,-1.384706,-0.767298,-0.914831,-1.116667
1.317759,1.038933,-0.058022,0.449171,1.147041,1.050959,0.711384,0.349493,1.106501,,1.363878,1.250191,0.720806,1.475582,0.427847,1.195641,1.05505,1.098814,1.101789,0.875158,1.107492,0.379372,1.048479,0.501242,0.558147,1.240273,1.085548,0.588646,1.296186,0.956364,1.458225,1.146049,1.304245,0.285769,1.003475,1.086912,1.038437,1.33214,0.621128,1.236305,1.633158,0.128689,0.639353,1.334248,0.96467,0.56571,0.987978,0.996656,1.092987
1.07935,1.710396,-0.058641,1.911488,1.193533,1.667376,1.116543,1.216345,2.437277,,1.53224,1.305857,0.766306,1.386566,1.620884,1.201344,2.193661,2.075262,1.396112,0.901194,2.000256,1.297426,1.831026,1.506329,1.20903,1.172457,1.513147,1.801271,2.011662,1.249199,1.769905,2.073402,0.067816,0.990334,2.03001,1.562986,1.770649,1.882105,1.700602,2.11977,0.106373,1.179276,1.310816,0.835361,1.76445,1.173944,1.251678,0.675306,1.602535
0.269156,0.502977,-0.05827,0.959215,0.218573,0.322466,0.629683,0.874662,0.667496,,0.308828,0.129433,0.480909,0.045624,1.114559,0.22254,0.838957,0.264816,0.355196,0.236053,0.603275,1.021204,0.23345,0.984011,0.586786,0.515623,0.065584,0.582943,0.442228,0.118895,0.260477,0.850115,-0.59063,0.860901,0.595217,0.302134,0.363874,0.486364,0.519466,0.526657,-0.248823,1.236181,0.957232,0.020828,0.788498,0.839825,0.563354,0.005579,0.546865
-0.441856,-0.536699,-0.05765,-0.439253,-0.323954,-0.90107,0.182619,0.338583,-0.431194,,-0.111952,-0.186586,0.394993,-0.080214,0.187206,-0.305233,-0.527029,-0.578728,-0.400324,0.17828,-0.635262,0.355816,-0.61902,-0.023928,0.169849,0.28676,-0.791845,-0.807219,-0.658445,-0.346146,-0.659065,-0.469627,-0.04364,0.407763,-0.521202,-0.20134,-0.590506,-0.750065,-0.219812,-0.59063,0.448303,0.422144,0.215597,-0.444584,-0.525789,-0.076246,-0.357676,0.104637,-0.723038
0.099182,-0.432806,-0.058517,-0.617657,0.168114,-0.264072,-0.362263,-0.422392,-0.591125,,0.022564,0.198736,-0.298042,0.141706,-0.631046,0.238037,-0.229359,-0.294075,0.227251,-0.237169,-0.434914,-0.487356,-0.08976,-0.670099,0.229607,-0.289116,-0.338335,-0.848131,-0.446196,0.230103,-0.243244,-0.657825,0.669231,-0.370941,-0.417805,0.086536,-0.226879,-0.276594,-0.12311,-0.153732,0.744362,-0.362635,-0.414829,0.014133,-0.739403,-0.456362,-0.507565,0.325317,-0.58753
