LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.542805,8.382006,9.30316,8.538218,9.158354,8.773899,8.891554,8.556566,9.014416,,7.950439,9.414244,8.71129,9.295969,9.274521,9.179926,9.054461,8.7677,8.760757,8.702488,8.013296,8.619547,9.225426,9.503756,8.537102,9.182158,9.048758,8.077888,9.064503,8.494825,9.476357,8.814936,0.025539,8.607645,8.742781,9.370604,8.721581,9.200878,8.54454,8.94412,,7.810965,9.661951,,8.358574,8.931227,9.196043,8.275633,9.390564
7.054701,7.081604,6.576147,6.585569,6.947956,7.642355,6.821623,7.191076,7.539082,,7.237692,7.125988,7.234716,7.231493,7.49507,7.357082,7.75877,7.836132,7.471514,7.125368,7.032633,6.839972,7.544661,7.608757,7.379894,6.596975,6.732359,7.171488,7.327452,6.340837,7.781458,8.031645,0.025415,6.855345,7.861547,7.510071,7.406797,7.583466,7.000771,7.61694,,6.954651,8.065491,,6.998911,6.972628,5.627098,6.740541,6.807241
0.460205,0.849743,-0.918798,1.595592,0.712252,0.641708,0.739155,1.204443,0.932188,,1.02232,0.118151,0.26556,0.043888,0.603399,0.699978,1.194029,0.86772,1.011658,0.525913,0.445328,1.177788,0.67605,0.849371,1.532116,1.026659,0.583315,1.017733,0.473223,0.774612,0.602531,0.652866,0.025663,1.376276,1.313791,0.480537,0.300274,0.578976,1.074514,0.706053,,1.547365,0.495539,,0.76333,0.831394,0.199356,0.307961,0.135756
-2.268295,-2.664032,-1.613073,-2.383099,-2.334127,-3.118162,-1.967402,-2.262716,-2.919922,,-3.220444,-2.816896,-1.970005,-2.781563,-2.365246,-2.55146,-2.973976,-2.98439,-2.640724,-2.227383,-2.869959,-2.083321,-2.882233,-2.880249,-1.897726,-2.890043,-2.578859,-2.540302,-3.197756,-2.389297,-3.237677,-3.023195,0.025415,-1.856194,-2.828426,-3.071795,-2.958727,-2.987862,-2.447071,-3.165522,,-1.774244,-2.567825,,-2.49877,-1.942234,-2.10948,-2.502117,-2.280197
-1.159439,-1.318998,0.400572,-1.576748,-0.959463,-1.238909,-1.00112,-1.699734,-1.979799,,-0.990705,-1.033106,-1.409626,-0.689936,-1.858425,-0.918674,-1.878262,-1.410742,-1.18721,-0.898962,-1.36797,-1.472855,-1.369209,-1.806479,-1.789618,-0.794821,-1.431322,-2.049723,-1.071663,-0.98897,-1.335983,-1.73048,0.025167,-1.345282,-1.639729,-1.064472,-0.950909,-1.281805,-1.835365,-1.48736,,-1.554804,-1.631422,,-1.3976,-1.198864,-0.675058,-0.595589,-0.961571
0.835361,1.227503,0.700598,0.934792,0.641832,1.020088,0.624723,0.133028,1.552696,,1.141586,0.984259,0.831394,1.504717,0.348377,0.884829,1.335735,1.272135,1.029015,0.608234,1.246223,0.265684,1.19031,0.495911,0.660429,1.003351,1.321354,0.793333,1.545382,0.896358,1.441736,1.490088,0.025415,0.075378,1.217709,1.077986,1.152744,1.434793,0.735683,1.540794,,0.005703,0.54513,,1.003475,0.521078,1.073275,0.996656,1.281185
1.321106,1.693659,0.189438,1.738663,1.296558,1.496162,1.201468,1.316519,2.013645,,1.31094,1.072407,0.6215,0.962687,1.740026,1.13018,1.921034,1.636257,1.282053,0.87429,2.016373,1.319866,1.479673,1.55592,0.967522,0.810318,1.5098,1.711884,1.888428,0.851107,1.680145,1.975708,0.025043,1.001616,1.740522,1.191301,1.714735,1.925993,1.709156,1.735067,,1.242008,1.280441,,1.804495,1.252422,1.410494,0.59782,1.748209
0.060129,0.350733,0.460453,0.803871,0.086536,0.190802,0.843048,1.202335,0.632038,,0.399828,0.363379,1.015253,0.260229,1.314783,0.084677,0.6215,0.002232,0.280437,0.555296,0.472851,1.212626,0.21163,1.102657,0.584555,0.954628,-0.041285,0.608854,0.408878,-0.002975,-0.015497,0.788002,0.025291,1.127577,0.386066,0.310936,0.458221,0.260973,0.579967,0.395861,,1.424627,1.265068,,0.762959,0.997276,0.553436,0.117283,0.460825
-0.031366,-0.638113,0.746222,-0.423508,0.127697,-0.357924,0.310936,0.299282,-0.179148,,0.180264,0.142326,0.202579,0.283041,-0.019093,0.389662,-0.171213,0.140963,0.020332,0.238409,-0.583935,0.483389,-0.393629,0.184603,0.643568,0.38619,-0.817757,-0.880365,-0.67543,0.148525,-0.417061,-0.493059,0.025167,0.349617,-0.448303,0.04302,-0.54513,-0.792217,-0.121374,-0.237045,,0.395613,0.236053,,-0.486612,-0.103893,-0.31168,0.439501,-0.930204
0.37838,-0.022936,-0.016117,-0.356684,-0.055418,-0.170717,-0.353832,-0.481157,-0.609722,,0.30015,0.251799,-0.196877,0.363255,-0.463181,-0.40206,0.173817,-0.535707,0.552692,-0.119514,-0.054426,-0.555792,0.298042,-0.756636,0.203571,-0.472851,0.040045,-0.405531,0.122614,0.691671,0.081949,-0.490084,0.025291,-0.35532,0.128193,0.424004,0.146666,0.065708,0.08604,0.158319,,0.052319,-0.392885,,-0.705433,-0.481281,-0.379124,0.323458,-0.185347
-0.352221,0.982771,-0.395241,0.676298,-0.014133,0.780191,-0.158319,-0.119886,0.228739,,0.054178,-0.013514,0.265436,0.035706,0.280809,-0.332012,0.597572,-0.374041,0.370817,-0.37528,0.713863,-0.483141,0.775976,-0.390406,-0.130548,-0.20072,0.921402,0.752296,1.009054,0.71188,0.34627,0.72279,0.025043,-0.212002,0.84218,0.16737,0.868711,0.988722,0.368462,0.537319,,0.040789,-0.08914,,0.565834,-0.044508,0.379496,-0.291348,0.682125
0.244608,0.555172,0.094223,0.968018,0.056658,0.054922,0.560751,0.712252,0.350981,,-0.196629,-0.265188,0.644064,-0.213861,0.782423,0.478926,0.302382,0.694523,-0.110836,0.119514,0.688076,0.177164,0.115671,0.580835,-0.241756,0.465412,0.545502,0.625219,0.589514,-0.430698,-0.015497,1.083441,0.025043,0.432186,0.333872,-0.391273,0.500002,0.630426,-0.272751,0.058022,,0.530252,0.695887,,0.597572,0.760107,0.956612,-0.491695,0.585051
0.205307,-0.456362,0.690432,-0.104513,0.760603,0.094471,0.970745,0.750189,0.320854,,0.439749,0.256262,0.42388,0.575008,0.582943,0.363379,-0.13216,0.312796,-0.140467,0.840197,-0.165262,0.231962,0.026283,0.965042,0.396976,0.38991,-0.285273,-0.109224,-0.50992,-0.163898,-0.158567,0.151253,0.025415,0.511532,-0.306597,0.342922,-0.297546,-0.401068,0.913095,-0.137863,,-0.476818,0.718575,,0.080585,0.655222,0.385447,0.48624,-0.212498
0.635138,-0.390778,0.137863,-0.317383,0.665016,0.404663,0.226259,0.116167,0.427475,,0.772009,0.952768,-0.121994,0.701466,-0.296307,0.39958,0.338955,0.239525,0.494547,-0.000496,-0.159683,0.906897,0.416193,0.146046,0.87801,-0.13278,0.02368,-0.171957,-0.208902,0.41111,0.230722,-0.545874,0.025291,0.733948,-0.043888,0.421524,-0.254154,-0.315523,0.127077,0.369081,,0.269032,-0.052814,,-0.447311,-0.173817,-0.41297,0.735064,-0.297794
0.514259,0.281677,-0.625591,0.057278,0.072775,0.440989,-0.538063,-0.421152,0.042648,,0.443716,0.389662,-0.270023,0.421896,-0.237417,0.563107,0.701342,0.407267,0.377512,0.229483,0.366478,-0.181875,0.64642,-0.318127,0.334864,-0.401564,0.459957,0.262957,0.364494,0.270395,0.68634,0.129061,0.025415,-0.256634,0.141211,0.550709,0.405283,0.399704,0.19105,0.870943,,0.707788,-0.445948,,0.159931,-0.468388,-0.426731,0.094223,0.432558
0.037069,0.296926,0.33102,0.626583,-0.418797,-0.030499,-0.178156,0.648775,-0.373917,,-0.768166,0.420532,0.427351,-0.674067,0.547609,0.302505,0.427475,0.460825,-0.597572,-0.057898,0.959959,-0.102777,-0.116167,0.196629,-0.20915,0.444336,0.387802,0.561991,0.480165,-0.243492,-0.234566,0.484133,0.025167,-0.146542,0.164022,-0.063848,0.4881,0.441236,0.116043,0.323086,,0.045252,0.233326,,0.716963,0.649891,0.422764,-0.295811,0.634022
-0.338955,-0.230598,0.118027,-0.423508,0.039549,0.243244,0.0879,-0.163527,-0.056534,,-0.334244,-0.714483,0.91012,-0.539923,0.830154,-0.188694,-0.284901,-0.066948,0.306721,0.509548,0.178528,0.262337,0.406151,0.655594,0.195761,0.576496,-0.347757,-0.08976,-0.081949,0.448427,0.177536,-0.209026,0.025043,0.752048,-0.124722,0.066576,-0.174189,-0.050211,-0.221796,-0.483141,,0.030994,0.928097,,0.095339,0.516863,0.026035,0.194769,0.173445
-0.06918,0.794325,0.32321,0.316763,0.786142,-0.021572,0.028143,0.294199,0.645304,,0.546741,-0.08976,0.193405,0.778704,0.080214,-0.294571,-0.347385,-0.306969,0.115919,0.288496,-0.94409,-0.063848,-0.562487,0.204067,0.559511,-0.012274,-0.273123,-0.397844,-0.266428,-0.163155,-0.048475,0.340815,0.025539,0.470619,0.861397,0.468636,-0.296183,-0.321846,-0.119143,-0.644312,,-0.488348,0.372305,,0.034838,0.445948,-0.240145,0.526161,-0.399084
0.665264,0.05765,0.59844,-0.226383,0.47719,-0.181503,0.877142,-0.201092,0.718203,,0.053062,0.604267,-0.473471,0.062981,-0.429211,0.42264,0.02244,0.025663,0.286512,-0.193653,0.235186,0.477438,0.011778,-0.061369,0.399828,-0.595589,0.470619,0.013142,0.36623,-0.449047,0.373793,-0.214481,0.025291,-0.215225,0.068312,-0.281677,0.365238,0.225515,0.234566,0.561123,,0.160303,-0.448675,,0.357304,-0.120258,0.75676,0.387802,0.188322
0.664024,-0.356312,-0.61964,0.906153,-0.332012,-0.004339,0.108604,0.137491,-0.105753,,0.165386,0.284529,-0.268536,0.305109,-0.540419,0.815277,0.371437,0.739155,0.62088,0.250435,0.441236,0.73308,0.923386,-0.364618,-0.162907,-0.091,0.275726,0.724525,0.736427,0.093231,-0.142202,0.76395,0.025539,0.223408,-0.442476,-0.029135,0.785027,0.671587,0.67667,0.368834,,0.751677,-0.281429,,-0.352468,-0.215101,0.173569,-0.364246,0.305605
-0.119638,0.18857,0.677786,0.045252,-0.388174,0.47657,-0.303249,0.060377,-0.178776,,0.271759,-0.005827,0.514135,-0.1122,0.495043,0.213614,0.753784,0.439129,-0.19824,-0.436153,0.119762,0.191422,-0.741882,0.575752,-0.215349,0.651999,0.230103,0.390902,0.023556,0.647907,0.23035,0.409126,0.025415,0.206423,0.963306,0.45289,-0.2637,-0.074139,0.256014,-0.103273,,0.534964,0.39958,,0.14555,0.504589,-0.368586,-0.25775,0.417309
-0.527153,0.519962,0.373545,-0.226879,0.292091,0.493803,0.150509,0.159311,0.392265,,-0.083685,0.125589,0.334492,0.281925,0.600176,-0.542774,-0.288992,-0.361767,0.176668,-0.000496,0.301762,-0.412598,0.15522,-0.060253,0.295067,0.586662,-0.783291,-0.413961,-0.458345,0.419292,0.426111,-0.309076,0.025663,-0.189686,-0.064344,0.318127,-0.039177,-0.051451,-0.327053,0.348873,,-0.220804,0.447807,,0.54575,-0.060377,-0.012646,0.012274,0.08604
